height,length,x1,y1,x2,y2,x3,y3,fix_x1,fix_y1,fix_x2,fix_y2,fix_x3,fix_y3,P_x1,P_y1,P_x2,P_y2,P_x3,P_y3,E_1,E_2,A_1,A_2,u_x1,u_y1,u_x2,u_y2,u_x3,u_y3,N_1,N_2
4.0,3.1555378,0.0,4.0,0.0,0.0,3.1555378,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0012446773,-0.0051146867,788884.44,-1273710.6
4.0,2.3010352,0.0,4.0,0.0,0.0,2.3010352,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0006618454,-0.003451587,575258.8,-1153656.2
4.0,3.9791055,0.0,4.0,0.0,0.0,3.9791055,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.00197916,-0.007581525,994776.3,-1410524.8
4.0,4.083879,0.0,4.0,0.0,0.0,4.083879,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0020847586,-0.00796608,1020969.8,-1429118.4
4.0,6.473542,0.0,4.0,0.0,0.0,6.473542,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0052383435,-0.022247972,1618385.6,-1902412.1
4.0,8.971438,0.0,4.0,0.0,0.0,8.971438,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.010060838,-0.05218274,2242859.5,-2455691.2
4.0,5.045479,0.0,4.0,0.0,0.0,5.045479,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0031821073,-0.012355322,1261369.8,-1609675.0
4.0,4.6697054,0.0,4.0,0.0,0.0,4.6697054,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0027257688,-0.010446433,1167426.4,-1537167.6
4.0,7.314711,0.0,4.0,0.0,0.0,7.314711,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0066881245,-0.030338574,1828677.8,-2084241.4
4.0,5.3592186,0.0,4.0,0.0,0.0,5.3592186,4.0,true,true,true,true,false,false,0.0,0.0,0.0,0.0,0.0,-1000000.0,200000000000.0,200000000000.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0035901528,-0.01415599,1339804.6,-1671848.2
